,rmse,correlation,noise,line,angle,adc_q4,step_length,de_dr,hit_count,adc_sum,hull_density,adc_per_hit,curvature,max_adc_norm,scatter_momentum,LABEL
36,2.977112572422894,35.77932199321413,22,1.3580724,8.37249410202085,0.16703184,2.743113,2.091979503631592,52,16896.787,0.14258540889032928,324.9382,33.94812,0.0,46.625057,0
37,6.651863416408124,4.465812268751495,76,4.5865808,54.59658145793503,0.13806507,123.51525,9.579671859741211,589,243524.6,0.06492726302023874,413.4543,89.46506,0.24,72.848175,1
38,13.313876218047891,14.085704037456898,54,4.727855,22.05064666287257,0.20432113,127.352165,0.366745263338089,188,47354.492,0.02064352620323485,251.88559,76.80338,0.46,50.479557,1
39,10.929616971643172,8.539749609912073,47,4.5886974,28.661426155097416,0.26142895,76.02927,1.6470906734466553,233,53646.203,0.013854138182642146,230.24121,80.61415,0.62,53.03816,1
40,1.6385287056123334,94.98096285699519,3,0.84105957,24.93478051423968,0.34529778,74.2949,2.457590103149414,125,24256.994,0.16273079698718665,194.05595,12.514341,0.98,148.72809,0
41,0.06605173604029559,99.98081540783134,3,1.1896014,0.7809429132987472,0.18563849,75.55208,2.7097761631011963,53,8282.323,2.9696971133967356,156.27025,7.888255,0.5,214.80975,0
42,8.38173148230333,65.06791874864366,40,5.1179385,2.8634920023677637,0.34339187,75.07596,2.506312370300293,48,20605.418,0.18611937203863096,429.27954,107.35634,0.9583333333333334,19.761871,0
43,0.3310218693786421,99.75730597331139,1,0.6150293,1.05096104094061,0.20697187,90.19676,5.345742702484131,61,16093.006,2.251209273254173,263.81976,8.1881075,0.0,255.39534,0
44,2.1210826785120442,84.94687494226358,7,2.84871,77.94341043265861,0.21293381,75.08891,0.6467806100845337,35,6015.778,0.07276205225479268,171.87936,59.43184,0.5714285714285714,25.65595,2
45,12.842757672823875,48.86424203569669,14,8.603595,19.341612497410427,0.20415759,117.803696,2.204805374145508,22,4640.836,0.010263280089130524,210.94708,57.598602,0.9090909090909091,28.429241,2
46,0.6803550240899104,99.10496166025445,2,0.6280345,109.93498708517569,0.3071392,70.79155,2.815216302871704,80,21768.328,1.3420072392730023,272.1041,7.573015,0.98,315.76523,0
47,8.36592701747002,39.966136679339144,7,7.5390487,29.528675118065216,0.17442594,42.690666,1.4968737363815308,20,14186.275,0.018690790709486847,709.3138,58.923096,0.55,25.558838,1
48,1.8131223141704764,87.31470310611766,10,4.243075,22.56569686046818,0.084977806,98.32907,8.023998260498047,23,8092.1826,0.05952572645104318,351.834,41.22722,0.4782608695652174,32.71285,1
49,0.17536631359913032,99.6949466081549,28,0.8908887,0.5596277941813836,0.2511681,4.6592493,14.772507667541504,251,54005.305,1.0002759488418853,215.16058,21.576736,0.02,143.50735,0
50,0.02711384635727124,99.99403950727064,1,0.5244049,7.977259587736669,0.25013623,398.26508,5.583561420440674,32,11808.31,22.98978930399391,369.00967,7.8250923,0.03125,188.07927,0
51,0.04896459526986917,94.83692439820753,1,0.5004554,0.41629296747479194,0.3365349,397.78027,3.2587568759918213,46,12117.396,13.43588776966692,263.42166,5.5857115,0.9565217391304348,413.8265,0
52,0.08453612747615973,99.34199131484164,6,0.81048983,0.5864299859563612,0.23166701,225.67535,2.887507677078247,18,5831.3945,7.057698759565865,323.96637,18.775953,0.6666666666666666,54.380657,0
53,15.984468191382552,11.29308466850898,31,11.718818,95.97732796748012,0.18526922,221.53633,1.4922499656677246,86,35249.85,0.0221209621726333,409.882,67.73525,0.44,49.894123,1
54,14.501316273990657,5.745858101645656,8,4.543415,97.32019772803066,0.17404068,226.12724,0.6498863101005554,25,9588.138,0.030216779744113343,383.5255,78.60639,0.08,19.24496,1
55,0.01604569492390183,99.99684090763836,1,0.52766544,0.21086571508029595,0.23625892,109.79727,5.849625587463379,23,9316.295,49.69751393443069,405.0563,2.8919106,0.9565217391304348,524.5796,0
56,0.12094358689737503,99.74358269902113,1,0.53349066,24.757589209571467,0.18925567,100.56799,8.177641868591309,17,9361.792,9.682377366589742,550.69366,8.168798,0.058823529411764705,107.02455,0
57,0.2636714976756449,98.71598924717233,14,0.6484427,49.090905955537,0.1578205,0.826788,4.909445762634277,179,39021.195,2.5187624026601116,217.9955,14.970782,0.0,240.25087,0
58,7.284211289910696,68.46582280389487,32,4.5937176,8.511411008804206,0.32829195,91.62964,1.3777941465377808,89,26479.105,0.031834281763014935,297.51804,76.196655,0.74,35.3975,1
59,2.11118502752885,89.8280802778308,11,1.3137785,108.86556467384068,0.26372617,57.17403,1.1375831365585327,90,21618.05,0.12563511934790592,240.20056,65.693375,0.44,34.631603,1
60,0.08905282727247393,99.98527458207361,1,0.53094965,3.4642496892494186,0.22171868,1.9838519,2.6927692890167236,154,25410.756,3.6805183066056295,165.00491,19.88655,0.64,110.08838,0
61,0.12921229876218532,99.95109117352993,1,0.70814365,16.70480024857615,0.29372507,84.16392,6.6345648765563965,32,18464.08,4.77579697464522,577.0025,14.432495,0.0,73.11868,0
62,0.057051790005576995,99.95006937220006,1,0.5177986,10.695997176284758,0.29767263,85.053635,8.234893798828125,22,13889.99,17.253832675498025,631.3632,5.427664,0.9090909090909091,199.53793,0
63,0.048558592261825115,99.33194878486353,1,0.48415455,81.19635676381506,0.2626031,84.53368,8.24374771118164,16,8037.6494,19.003423214009658,502.3531,4.4005027,0.0,244.20412,0
64,1.0954409603736055,98.10328866563837,4,3.9284313,5.473887704927065,0.17819527,0.34791183,3.2026214599609375,28,6915.7524,0.14519981188503256,246.99117,6.8289347,0.0,218.26056,0
65,7.467939729294466,64.53509732094211,5,4.3179455,37.09798469858563,0.34093723,2.465174,3.588083028793335,20,5396.6445,0.033601894568972314,269.8322,60.434696,0.4,21.06728,2
66,0.18644179886909978,99.92835695673705,2,0.50224245,0.2310198851752172,0.23353675,1.2551717,2.0980849266052246,231,29228.562,4.2741152731360375,126.53057,10.190792,0.06,404.44174,3
67,0.29463946031501126,99.58185801889346,1,0.70186514,52.7175951690179,0.27388704,0.2564214,7.689044952392578,23,15522.252,2.5482128404629645,674.8805,54.99722,0.9130434782608695,17.417501,0
68,0.23107819912835814,99.913923815597,1,0.57184386,122.3203416176043,0.3033195,1.0984069,2.9718475341796875,202,52324.22,3.6588083158953753,259.0308,5.105029,0.0,767.63025,0
69,0.8541654092403643,98.89718591925669,4,0.70263225,0.8308026378086547,0.248851,1.280603,2.2135438919067383,546,91415.72,0.4713206631285387,167.42805,50.818306,0.88,83.615814,3
70,0.06474251369880714,99.95480069989908,3,0.5252697,13.369869434980469,0.28242838,6.748386,2.3477704524993896,75,10877.729,14.321268552515715,145.03638,5.376953,0.96,538.60675,0
71,3.6083485830629862,79.79003598371898,15,4.1853824,8.323537521708715,0.15872285,133.5963,5.503999710083008,42,11679.361,0.08662200806470549,278.08002,82.64888,0.19047619047619047,22.39673,1
72,5.441893898322632,67.84060089648668,51,4.9420094,14.528958030909218,0.23410821,22.165075,3.172266721725464,287,71737.375,0.04359616653500559,249.95601,94.495316,0.76,50.996876,1
73,1.0466167921093463,89.04310583700847,4,2.5507138,3.3833458251980923,0.19931091,9.0773735,2.4643819332122803,26,5184.4365,0.25758020342691884,199.4014,76.844025,0.3076923076923077,17.229557,2
74,2.5728703282088468,90.04378657827073,14,0.6337974,4.152845558538924,0.2339276,0.21763265,2.417029619216919,2082,326139.94,0.16391224980785365,156.64743,46.379635,0.3,162.94768,3
75,0.4779910813289032,99.64004813192689,1,0.77116007,141.92583136294752,0.3352504,1.3151616,3.3141984939575195,122,46457.277,1.8061660138811246,380.79736,4.474347,0.98,679.0693,0
